userid,month,revenue,subscription_plan,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
19,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
20,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Shorter,Neutral
21,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
22,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
23,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
26,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
28,2023-04,0,Free,2023-04-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
29,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
30,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
41,2023-04,0,Free,2023-04-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,No preference / Not applicable,Both,Shorter,Neutral
42,2023-04,0,Free,2023-04-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,No preference / Not applicable,Conversational,Both,Both,Neutral
43,2023-04,0,Free,2023-04-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Satisfied
44,2023-04,0,Free,2023-04-01,12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Satisfied
45,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling,","recommendations, Playlists",5,Once a week,Comedy,Story telling,No preference / Not applicable,Both,Satisfied
46,2023-04,0,Free,2023-04-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
47,2023-04,0,Free,2023-04-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Neutral
48,2023-04,0,Free,2023-04-01,35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
49,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,No preference / Not applicable,Well known individuals,Shorter,Neutral
61,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Not specified,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
62,2023-04,0,Free,2023-04-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
63,2023-04,0,Free,2023-04-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Neutral
64,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
65,2023-04,0,Free,2023-04-01,12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Not interested,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
66,2023-04,0,Free,2023-04-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
69,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Neutral
70,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
71,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
72,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
73,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
74,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Neutral
89,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Satisfied
90,2023-04,0,Free,2023-04-01,35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Not interested,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
91,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
92,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,No preference / Not applicable,Both,Longer,Satisfied
93,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
94,2023-04,0,Free,2023-04-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
95,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,No preference / Not applicable,No preference / Not applicable,Neutral
96,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Neutral
97,2023-04,0,Free,2023-04-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,No preference / Not applicable,Both,Shorter,Neutral
98,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
99,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
100,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
101,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,No preference / Not applicable,Story telling,No preference / Not applicable,No preference / Not applicable,Satisfied
102,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,No preference / Not applicable,Story telling,No preference / Not applicable,No preference / Not applicable,Neutral
103,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
104,2023-04,0,Free,2023-04-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
105,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,No preference / Not applicable,Interview,No preference / Not applicable,No preference / Not applicable,Neutral
106,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,No preference / Not applicable,Educational,Both,Shorter,Satisfied
107,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
108,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,No preference / Not applicable,Educational,Well known individuals,Shorter,Neutral
109,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Neutral
119,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Neutral
120,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
121,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
122,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Neutral
123,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
124,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
125,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
126,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
127,2023-04,0,Free,2023-04-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
128,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
129,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
130,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
131,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Not interested,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Neutral
132,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
133,2023-04,0,Free,2023-04-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Not interested,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
134,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
135,2023-04,0,Free,2023-04-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
136,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
137,2023-04,0,Free,2023-04-01,35-60,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
138,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Satisfied
139,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Not interested,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
140,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
141,2023-04,0,Free,2023-04-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied
142,2023-04,0,Free,2023-04-01,35-60,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
143,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied
144,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
145,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Neutral
146,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied
147,2023-04,0,Free,2023-04-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Rarely,Comedy,Story telling,Both,Both,Neutral
148,2023-04,0,Free,2023-04-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Not interested,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
149,2023-04,0,Free,2023-04-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Neutral
150,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Satisfied
151,2023-04,0,Free,2023-04-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
152,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied
153,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
154,2023-04,0,Free,2023-04-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Neutral
155,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Satisfied
156,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Neutral
157,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,No preference / Not applicable,No preference / Not applicable,Neutral
158,2023-04,0,Free,2023-04-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,No preference / Not applicable,Well known individuals,Shorter,Neutral
159,2023-04,0,Free,2023-04-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
160,2023-04,0,Free,2023-04-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
